example,foc_self,foc_only,left_dis,non_init_exis,obj_front,inv_tag,cop_omis,res_obj_pron,res_sub_pron,top_non_arg_con
So if you're not good at communication you may get filtered at the first level itself,1,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the same level itself,1,0,0,0,0,0,0,0,0,0
if you're not good at communication you may get filtered at the same level itself,1,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the first level,0,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at the first level of itself,0,0,0,0,0,0,0,0,0,0
But I did have some difficulty getting to know people among Indians itself,1,0,0,0,0,0,0,0,0,0
But I did have some difficulty know how to people among Indians itself,1,0,0,0,0,0,0,0,0,0
But I did have some difficulty getting to know among the people itself,1,0,0,0,0,0,0,0,0,0
I think you should start going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
I think you should going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
you think should start going to the gym from now itself.,1,0,0,0,0,0,0,0,0,0
I think you should start going to the gym years from now.,0,0,0,0,0,0,0,0,0,0
I think you should start going to the gym from now.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of June itself.,1,0,0,0,0,0,0,0,0,0
uh I did one refresher course in the month of June itself.,1,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of May June itself.,1,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of itself.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month second of June.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month week of June.,0,0,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He doing is in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He is he doing in Delhi itself.,1,0,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi only.,0,1,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi.,0,0,0,0,0,0,0,0,0,0
He is doing Engineering in itself.,0,0,0,0,0,0,0,0,0,0
I'm working very nearby to my house only ,0,1,0,0,0,0,0,0,0,0
I'm working in nearby to my house only ,0,1,0,0,0,0,0,0,0,0
I'm very hard working to my house only ,0,1,0,0,0,0,0,0,0,0
I'm working very nearby from my house to only ,0,0,0,0,0,0,0,0,0,0
I'm working very nearby to in my house,0,0,0,0,0,0,0,0,0,0
I'm working very nearby my house to the only ,0,0,0,0,0,0,0,0,0,0
recently only in April there was a big fight,0,1,0,0,0,0,0,0,0,0
recently only in April there was a very big,0,1,0,0,0,0,0,0,0,0
recently only in April there is a big fight,0,1,0,0,0,0,0,0,0,0
only in the April there was a big fight,0,0,0,0,0,0,0,0,0,0
recently in only there was a big fight,0,0,0,0,0,0,0,0,0,0
in only April there was a big fight,0,0,0,0,0,0,0,0,0,0
I was there yesterday only,0,1,0,0,0,0,0,0,0,0
I was in yesterday only,0,1,0,0,0,0,0,0,0,0
I there was one only,0,1,0,0,0,0,0,0,0,0
I and yesterday there was only,0,0,0,0,0,0,0,0,0,0
I there was a only,0,0,0,0,0,0,0,0,0,0
I was there was only,0,0,0,0,0,0,0,0,0,0
She was brought up there and her college was there only,0,1,0,0,0,0,0,0,0,0
She was brought up there college and was there only,0,1,0,0,0,0,0,0,0,0
She was brought and brought up there her college was there only,0,1,0,0,0,0,0,0,0,0
She was brought up there and her there was a only,0,0,0,0,0,0,0,0,0,0
She was brought up there and her college there was one,0,0,0,0,0,0,0,0,0,0
She was brought up there and her uh there was only,0,0,0,0,0,0,0,0,0,0
You get on the train and buy the ticket there only,0,1,0,0,0,0,0,0,0,0
You will get the train and buy the ticket there only,0,1,0,0,0,0,0,0,0,0
You get on the train and the ticket there only,0,1,0,0,0,0,0,0,0,0
You get on the train and buy there the only,0,0,0,0,0,0,0,0,0,0
You get on the train and buy there in the only,0,0,0,0,0,0,0,0,0,0
You get on the train and buy the there was only,0,0,0,0,0,0,0,0,0,0
"my father, he works for a mining company",0,0,1,0,0,0,0,0,0,0
"my father, he works go for a company",0,0,1,0,0,0,0,0,0,0
my father he works for a mining company,0,0,1,0,0,0,0,0,0,0
my father and he works for a mining company,0,0,0,0,0,0,0,0,0,0
nowadays all the children they are mature from a very early age,0,0,1,0,0,0,0,0,0,0
nowadays all the children they are mature from a very good age,0,0,1,0,0,0,0,0,0,0
nowadays the children they are mature from a very early age,0,0,1,0,0,0,0,0,0,0
nowadays all they have the are mature from a very early age,0,0,0,0,0,0,0,0,0,0
nowadays all the they are very mature from a very early age,0,0,0,0,0,0,0,0,0,0
nowadays all the children get they are mature from a very early age,0,0,0,0,0,0,0,0,0,0
"the camera, the dog is facing towards it",0,0,1,0,0,0,0,0,0,0
"the camera, the dog is towards it",0,0,1,0,0,0,0,0,0,0
was the camera the dog is facing towards it,0,0,1,0,0,0,0,0,0,0
the was the camera dog is facing towards it,0,0,0,0,0,0,0,0,0,0
"the, in the dog is facing towards it",0,0,0,0,0,0,0,0,0,0
"the, the dog is facing towards it",0,0,0,0,0,0,0,0,0,0
"and all the company people, they are my clients",0,0,1,0,0,0,0,0,0,0
"and all the company, they are my clients",0,0,1,0,0,0,0,0,0,0
"and all company people, they are my clients",0,0,1,0,0,0,0,0,0,0
those who come here definitely they should learn English,0,0,1,0,0,0,0,0,0,0
those who come here they should learn English,0,0,1,0,0,0,0,0,0,0
those who have here definitely they should learn English,0,0,1,0,0,0,0,0,0,0
those who come here that they should learn English,0,0,0,0,0,0,0,0,0,0
those who come here and they should learn English,0,0,0,0,0,0,0,0,0,0
those who come But here they should learn English,0,0,0,0,0,0,0,0,0,0
some flower part is there,0,0,0,1,0,0,0,0,0,0
some flower part is there but,0,0,0,1,0,0,0,0,0,0
some part of is there,0,0,0,1,0,0,0,0,0,0
some flower there is one,0,0,0,0,0,0,0,0,0,0
some flower there is other part,0,0,0,0,0,0,0,0,0,0
some flower there is no,0,0,0,0,0,0,0,0,0,0
corruption is there obviously,0,0,0,1,0,0,0,0,0,0
corruption is there,0,0,0,1,0,0,0,0,0,0
there is no obviously,0,0,0,0,0,0,0,0,0,0
there is one obviously,0,0,0,0,0,0,0,0,0,0
corruption obviously there is another,0,0,0,0,1,0,0,0,0,0
because in India individuality is not there,0,0,0,1,0,0,0,0,0,0
in India individuality is not there,0,0,0,1,0,0,0,0,0,0
because in India individual it is not there,0,0,1,1,0,0,0,0,0,0
because in India individuality it is not,0,0,0,0,1,0,0,0,0,0
because in India individuality there it is not,0,0,0,0,1,0,0,0,0,0
because in India individuality there is,0,0,0,0,0,0,0,0,0,0
five balls are there,0,0,0,1,0,0,0,0,0,0
five are there,0,0,0,1,0,0,0,0,0,0
five girls are there,0,0,0,1,0,0,0,0,0,0
five there are,0,0,0,0,0,0,0,0,0,0
five there are no,0,0,0,0,0,0,0,0,0,0
are five there,0,0,0,0,0,0,0,0,0,0
every year inflation is there,0,0,0,1,0,0,0,0,0,0
Yes every year is there,0,0,0,1,0,0,0,0,0,0
every year is there,0,0,0,1,0,0,0,0,0,0
every year there is no,0,0,0,0,0,0,0,0,0,0
every year there is a,0,0,0,0,0,0,0,0,0,0
every year there is,0,0,0,0,0,0,0,0,0,0
not so much adjustment I have to make,0,0,0,0,1,0,0,0,0,0
so much adjustment I have to make,0,0,0,0,1,0,0,0,0,0
not so as much I have to make,0,0,0,0,1,0,0,0,0,0
not so I very much have to make,0,0,0,0,0,0,0,0,0,0
not so I much have to make,0,0,0,0,0,0,0,0,0,0
minimum one month you have to wait,0,0,0,0,1,0,0,0,0,0
minimum one month you have to wait there,0,0,0,0,1,0,0,0,0,0
minimum one word you have to wait,0,0,0,0,1,0,0,0,0,0
minimum one that you have to wait,0,0,0,0,0,0,0,0,0,0
Hindi Gujarati and Marathi you can use in Bombay,0,0,0,0,1,0,0,0,0,0
Hindi and then Marathi you can use in Bombay,0,0,0,0,1,0,0,0,0,0
Hindi and Marathi you can use in Bombay,0,0,0,0,1,0,0,0,0,0
Hindi Gujarati and you can say use in Bombay,0,0,0,0,0,0,0,0,0,0
Hindi Gujarati and you can use in Bombay,0,0,0,0,0,0,0,0,0,0
Hindi Gujarati you and can use in Bombay,0,0,0,0,0,0,0,0,0,0
in fifteen years lot of changes we have seen,0,0,0,0,1,0,0,0,0,0
in fifteen years lot of that we have seen,0,0,0,0,1,0,0,0,0,0
years in lot of changes we have seen,0,0,0,0,1,0,0,0,0,0
in fifteen years of changes we have seen,0,0,0,0,0,0,0,0,0,0
in fifteen years lot of changes that we have,0,0,0,0,0,0,0,0,0,0
in last fifteen years of changes we have seen,0,0,0,0,0,0,0,0,0,0
tomorrow this cake you have to try,0,0,0,0,1,0,0,0,0,0
tomorrow this cake have to try,0,0,0,0,1,0,0,0,0,0
tomorrow you know this have to try,0,0,0,0,1,0,0,0,0,0
tomorrow this that you have to try,0,0,0,0,0,0,0,0,0,0
tomorrow you have this have to try,0,0,0,0,0,0,0,0,0,0
"the children are playing outside, isn't it?",0,0,0,0,0,1,0,0,0,0
"the children are always outside, isn't it?",0,0,0,0,0,1,0,0,0,0
"the children are deprived playing outside, isn't it?",0,0,0,0,0,1,0,0,0,0
"the children are playing outside, didn't it?",0,0,0,0,0,0,0,0,0,0
"the children are playing outside, isn't send it?",0,0,0,0,0,0,0,0,0,0
"the children are playing outside, isn't know?",0,0,0,0,0,0,0,0,0,0
"the children are playing outside, no?",0,0,0,0,0,1,0,0,0,0
the children are playing outside no?,0,0,0,0,0,1,0,0,0,0
"the children they are outside, no?",0,0,1,0,0,1,0,0,0,0
"the children are playing outside, na?",0,0,0,0,0,1,0,0,0,0
"the children we are playing, na?",0,0,0,0,1,1,0,0,0,0
the children are playing outside school na?,0,0,0,0,0,1,0,0,0,0
"I was very scared to, no?",0,0,0,0,0,1,0,0,0,0
"I was very to, no?",0,0,0,0,0,1,0,0,0,0
"I was very to, branding no?",0,0,0,0,0,1,0,0,0,0
"I was very much scared to, ?",0,0,0,0,0,0,0,0,0,0
"I was very scared to, na?",0,0,0,0,0,1,0,0,0,0
"I was very happy scared to, na?",0,0,0,0,0,1,0,0,0,0
"I was not very scared to, na?",0,0,0,0,0,1,0,0,0,0
"I was very scared much to, ?",0,0,0,0,0,0,0,0,0,0
"I was very scared to, ?",0,0,0,0,0,0,0,0,0,0
"I was very scared, to?",0,0,0,0,0,0,0,0,0,0
"the store is around the corner, no, by the post office",0,0,0,0,0,1,0,0,0,0
"the is around the corner, no, by the post office",0,0,0,0,0,1,0,0,0,0
"the store is around the corner, no, by the post office sir",0,0,0,0,0,1,0,0,0,0
"the store is around the corner Yeah, so by the post office",0,0,0,0,0,0,0,0,0,0
"the store is around the corner, so please by the post office",0,0,0,0,0,0,0,0,0,0
"the store is around the corner, na, by the post office",0,0,0,0,0,1,0,0,0,0
"the store is around the corner, na, by the office",0,0,0,0,0,1,0,0,0,0
"the store is around the corner, na, by the post",0,0,0,0,0,1,0,0,0,0
"It's come from me, no?",0,0,0,0,0,1,0,0,0,0
It's come far from me no?,0,0,0,0,0,1,0,0,0,0
It's come from me laughs no?,0,0,0,0,0,1,0,0,0,0
"It's come from me, na?",0,0,0,0,0,1,0,0,0,0
It's come from me na?,0,0,0,0,0,1,0,0,0,0
"It's a come from me, na?",0,0,0,0,0,1,0,0,0,0
"he liked it, no, even though you said he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked it, no, even you said he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked it, no, even you see though said he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked it, so please even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
"he liked No no it, even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
"he liked it Yeah, so even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
"he liked it, na, even though you said he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked it, na, even said you he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked it, na, even if you said he wouldn't",0,0,0,0,0,1,0,0,0,0
"he liked, there it, even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
I think she a teacher,0,0,0,0,0,0,1,0,0,0
I think she teacher,0,0,0,0,0,0,1,0,0,0
think I a teacher,0,0,0,0,0,0,1,0,0,0
I think be a teacher,0,0,0,0,0,0,0,0,0,0
I think she is a teacher,0,0,0,0,0,0,0,0,0,0
I think she is a,0,0,0,0,0,0,0,0,0,0
They all aggressive states.,0,0,0,0,0,0,1,0,0,0
They all states of.,0,0,0,0,0,0,1,0,0,0
They from all states.,0,0,0,0,0,0,1,0,0,0
They are all states.,0,0,0,0,0,0,0,0,0,0
They all think states.,0,0,0,0,0,0,0,0,0,0
Now they wearing American type of dresses.,0,0,0,0,0,0,1,0,0,0
Now they wearing American type of Dr.,0,0,0,0,0,0,1,0,0,0
Now they wearing this type of dresses.,0,0,0,0,0,0,1,0,0,0
Now they are American type of dresses.,0,0,0,0,0,0,0,0,0,0
Now they have American type of dresses.,0,0,0,0,0,0,0,0,0,0
Now they were American type of dresses.,0,0,0,0,0,0,0,0,0,0
So my parents from Gujarat.,0,0,0,0,0,0,1,0,0,0
my parents from Gujarat.,0,0,0,0,0,0,1,0,0,0
So my parents Gujarat.,0,0,0,0,0,0,1,0,0,0
So away from my Gujarat.,0,0,0,0,0,0,0,0,0,0
wtih my parents from Gujarat.,0,0,0,0,0,0,0,0,0,0
my parents and from Gujarat.,0,0,0,0,0,0,0,0,0,0
"Sorry I can't come, everything busy in our life.",0,0,0,0,0,0,1,0,0,0
"Sorry I can't come, everything busy in our.",0,0,0,0,0,0,1,0,0,0
"Sorry I don't come, everything busy in our life.",0,0,0,0,0,0,1,0,0,0
Sorry I can't come to everything busy in our life.,0,0,0,0,0,0,0,0,0,0
"The cake, I like it very much.",0,0,1,0,0,0,0,1,0,0
"The cake, I like it is very.",0,0,1,0,0,0,0,1,0,0
"The cake, like it very much.",0,0,1,0,0,0,0,1,0,0
"The, not I like it very much.",0,0,0,0,0,0,0,0,0,0
"The cake, I like very much.",0,0,0,0,1,0,0,0,0,0
"The cake, I would like very much.",0,0,0,0,1,0,0,0,0,0
"The book that I left it here, where is it?",0,0,0,0,0,0,0,1,0,0
The book that I left But here it where is it?,0,0,0,0,0,0,0,1,0,0
"that book you I left it here, where is it?",0,0,0,0,0,0,0,1,0,0
"The I think that left it here, where is it?",0,0,0,0,0,0,0,0,0,0
My old life I want to spend it in India.,0,0,1,0,0,0,0,1,0,0
My old life I want to spend it here in India.,0,0,1,0,0,0,0,1,0,0
My old life I want to spend it in the.,0,0,1,0,0,0,0,1,0,0
My old life I want to spend in India.,0,0,0,0,1,0,0,0,0,0
Some teachers when I was in school I liked them very much.,0,0,1,0,0,0,0,1,0,0
Some teachers when I was in school I like them very much.,0,0,1,0,0,0,0,1,0,0
Some teachers when I in the school I liked them very much.,0,0,1,0,0,0,0,1,0,0
Some teachers when I was in school I liked very much.,0,0,0,0,1,0,0,0,0,0
Some teachers when I was in school I liked like very much.,0,0,0,0,1,0,0,0,0,0
Some teachers when I was in school I liked is very much.,0,0,0,0,1,0,0,0,0,0
I'm going to find my bag which I left it in the room.,0,0,0,0,0,0,0,1,0,0
I'm going to find my bag which I it in the room.,0,0,0,0,0,0,0,1,0,0
I'm going to find my bag which I it was in the room.,0,0,0,0,0,0,0,1,0,0
I'm going to find my bag then I left it in the room.,0,0,0,0,0,0,0,0,0,0
I'm going to find my bag which I left in the morning room.,0,0,0,0,0,0,0,0,0,0
I'm going to find my bag which I left uh in the room.,0,0,0,0,0,0,0,0,0,0
"A person living in Calcutta, which he didn't know Hindi earlier, when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,1,0
"A person are living in, which he didn't know Hindi earlier, when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,1,0
"A person living in Calcutta, which he didn't know Hindi earlier, me when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,1,0
"A person living in Calcutta, which didn't know Hindi earlier, when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,0,0
"A person living in Calcutta, which I didn't know Hindi earlier, when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,0,0
But now all kids they have a computer and all new technology.,0,0,1,0,0,0,0,0,1,0
But now all kids they have a computer and all that technology.,0,0,1,0,0,0,0,0,1,0
But now all kids they have a computer and all technology.,0,0,1,0,0,0,0,0,1,0
But now they are all have a computer and all new technology.,0,0,0,0,0,0,0,0,0,0
But now all they have a computer and all new technology.,0,0,0,0,0,0,0,0,0,0
But now all they have to a computer and all new technology.,0,0,0,0,0,0,0,0,0,0
My daughter she is attending the University of Delhi.,0,0,1,0,0,0,0,0,1,0
My daughter she is very the University of Delhi.,0,0,1,0,0,0,0,0,1,0
My daughter she is attending of the Delhi.,0,0,1,0,0,0,0,0,1,0
My daughter is attending the University of Delhi.,0,0,0,0,0,0,0,0,0,0
My And she is attending the University of Delhi.,0,0,0,0,0,0,0,0,0,0
My is she attending the University of Delhi.,0,0,0,0,0,0,0,0,0,0
"and that roommate, he will do an interview",0,0,1,0,0,0,0,0,1,0
and that roommate he will go do an interview,0,0,1,0,0,0,0,0,1,0
"and that roommate, he will for an interview",0,0,1,0,0,0,0,0,1,0
"that and, he will do an interview",0,0,0,0,0,0,0,0,0,0
some people they are very nice,0,0,1,0,0,0,0,0,1,0
some people they are very good nice,0,0,1,0,0,0,0,0,1,0
some people south they are very nice,0,0,1,0,0,0,0,0,1,0
some people are very nice,0,0,0,0,0,0,0,0,0,0
some people that they are very nice,0,0,0,0,0,0,0,0,0,0
daytime I work for the courier service,0,0,0,0,0,0,0,0,0,1
daytime I go for the courier service,0,0,0,0,0,0,0,0,0,1
daytime I work for the people courier service,0,0,0,0,0,0,0,0,0,1
I work for the courier service,0,0,0,0,0,0,0,0,0,0
work I have for the courier service,0,0,0,0,1,0,0,0,0,0
for many years I did not travel,0,0,0,0,0,0,0,0,0,1
for many years did not travel,0,0,0,0,0,0,0,0,0,1
for many seven years I did not travel,0,0,0,0,0,0,0,0,0,1
how many years I did not travel,0,0,0,0,0,0,0,0,0,0
with your mother I love to go shopping,0,0,0,0,0,0,0,0,0,1
with your mother I love to go,0,0,0,0,0,0,0,0,0,1
with your mother I love to go abroad shopping,0,0,0,0,0,0,0,0,0,1
your mother I love to go shopping,0,0,0,0,0,0,0,0,0,0
your mother tongue I love to go shopping,0,0,0,0,0,0,0,0,0,0
like your mother I love to go shopping,0,0,0,0,0,0,0,0,0,0
and in the background there are a lot of buildings,0,0,0,0,0,0,0,0,0,1
in the sense background there are a lot of buildings,0,0,0,0,0,0,0,0,0,1
uh in the background there are a lot of buildings,0,0,0,0,0,0,0,0,0,1
and in the background are a lot of buildings,0,0,0,0,0,0,0,0,0,0
"yeah, so my parent's house I go very often",0,0,0,0,0,0,0,0,0,1
"yeah, so my It's house I go very often",0,0,0,0,0,0,0,0,0,1
yeah so my parent's house I go very often,0,0,0,0,0,0,0,0,0,1
"yeah, so my parent's house go very often",0,0,0,0,0,0,0,0,0,0
"yeah, so my parent's house? I go very often",0,0,0,0,0,0,0,0,0,0
"yeah, so my parent's why I go very often",0,0,0,0,0,0,0,0,0,0
So if you're not good at communication you may get filtered at even the first level ,0,0,0,0,0,0,0,0,0,0
But I did have some difficulty getting to know people among Indians themselves,0,0,0,0,0,0,0,0,0,0
I think you should start going to the gym from now.,0,0,0,0,0,0,0,0,0,0
I did one refresher course in the month of June.,0,0,0,0,0,0,0,0,0,0
He is doing Engineering in Delhi.,0,0,0,0,0,0,0,0,0,0
I'm working very near my house,0,0,0,0,0,0,0,0,0,0
as recently as April there was a big fight,0,0,0,0,0,0,0,0,0,0
I was there just yesterday,0,0,0,0,0,0,0,0,0,0
She was brought up there and her college was there too,0,0,0,0,0,0,0,0,0,0
You get on the train and buy the ticket there too,0,0,0,0,0,0,0,0,0,0
my father works for a mining company,0,0,0,0,0,0,0,0,0,0
nowadays all the children are mature from a very early age,0,0,0,0,0,0,0,0,0,0
the dog is facing towards the camera,0,0,0,0,0,0,0,0,0,0
and all the company people are my clients,0,0,0,0,0,0,0,0,0,0
those who come here should definitely learn English,0,0,0,0,0,0,0,0,0,0
there is some flower part,0,0,0,0,0,0,0,0,0,0
there is corruption obviously,0,0,0,0,0,0,0,0,0,0
because there is no individuality in India,0,0,0,0,0,0,0,0,0,0
there are five balls,0,0,0,0,0,0,0,0,0,0
every year there is inflation,0,0,0,0,0,0,0,0,0,0
I don't have to make so much adjustment,0,0,0,0,0,0,0,0,0,0
I have to make not so much adjustment,0,0,0,0,0,0,0,0,0,0
you have to wait a minimum of one month,0,0,0,0,0,0,0,0,0,0
you can use Hindi Gujarati and Marathi in Bombay,0,0,0,0,0,0,0,0,0,0
in fifteen years we have seen a lot of changes,0,0,0,0,0,0,0,0,0,0
tomorrow you have to try this cake,0,0,0,0,0,0,0,0,0,0
"the children are playing outside, aren't they?",0,0,0,0,0,0,0,0,0,0
"I was very scared to, wasn't I?",0,0,0,0,0,0,0,0,0,0
the store is around the corner by the post office,0,0,0,0,0,0,0,0,0,0
"It's come from me, hasn't it?",0,0,0,0,0,0,0,0,0,0
"he liked it, right, even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
"he liked it, didn't he, even though you said he wouldn't",0,0,0,0,0,0,0,0,0,0
They are all aggressive states.,0,0,0,0,0,0,0,0,0,0
Now they are wearing American type of dresses.,0,0,0,0,0,0,0,0,0,0
So my parents are from Gujarat.,0,0,0,0,0,0,0,0,0,0
"Sorry I can't come, everything is busy in our life.",0,0,0,0,0,0,0,0,0,0
I like the cake very much.,0,0,0,0,0,0,0,0,0,0
"The book that I left here, where is it?",0,0,0,0,0,0,0,0,0,0
My old life I want to spend in India.,0,0,0,0,0,0,0,0,0,0
I'm going to find my bag which I left in the room.,0,0,0,0,0,0,0,0,0,0
"A person living in Calcutta, who didn't know Hindi earlier, when he comes to Delhi he has to learn English.",0,0,0,0,0,0,0,0,0,0
But now all kids have a computer and all new technology.,0,0,0,0,0,0,0,0,0,0
and that roommate will do an interview,0,0,0,0,0,0,0,0,0,0
I work for the courier service in the daytime,0,0,0,0,0,0,0,0,0,0
I did not travel for many years,0,0,0,0,0,0,0,0,0,0
I love to go shopping with your mother,0,0,0,0,0,0,0,0,0,0
and there are a lot of buildings in the background,0,0,0,0,0,0,0,0,0,0
"yeah, so I go very often to my parent's house",0,0,0,0,0,0,0,0,0,0